username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Bolanet;2017-12-23 19:33;11;7;"#SegarnyaSolero #LiveBolanet 31' OMG Ronaldo! Solo run dari sisi kiri diakhiri tembakan manis yang berhasil ditepis Ter Stegen Real Madrid 0-0 Barcelona";;;#SegarnyaSolero #LiveBolanet;"944546476105060352";https://twitter.com/Bolanet/status/944546476105060352
Bolanet;2017-12-23 19:30;2;1;"#LiveBolanet 0' Priiittt!!! Peluit dari wasit pertanda Kick off babak pertama sudah dimulai, Prediksi? Everton 0-0 Chelsea";;;#LiveBolanet;"944545770564399104";https://twitter.com/Bolanet/status/944545770564399104
Bolanet;2017-12-23 19:20;2;1;"#SegarnyaSolero #LiveBolanet 18' tekel keras Vermaelen kepada Modric berbuah kartu kuning dari wasit Real Madrid 0-0 Barcelona";;;#SegarnyaSolero #LiveBolanet;"944543148516265984";https://twitter.com/Bolanet/status/944543148516265984
Bolanet;2017-12-23 19:20;12;10;"https:// goo.gl/wu16Sq - Sampai Jadi Kakek-kakek, Buffon Masih Akan Siap Bela Juventus pic.twitter.com/Bn62GOwbDU";;;;"944543108905209856";https://twitter.com/Bolanet/status/944543108905209856
Bolanet;2017-12-23 19:13;9;2;"#SegarnyaSolero #LiveBolanet 10' Astaga Ronaldo! Umpan manis Kroos gagal dimanfaatkan Ronaldo, tembakannya mengenai angin dan bola hanya lewat dihadapannya Real Madrid 0-0 Barcelona";;;#SegarnyaSolero #LiveBolanet;"944541388766670849";https://twitter.com/Bolanet/status/944541388766670849
Bolanet;2017-12-23 19:13;3;0;"#LiveBolanet Everton Subs: Robles, Williams, Bolasie, Ramirez, Niasse, Holgate, Baningime. Chelsea Subs: Caballero, Cahill, Zappacosta, Drinkwater, Fabregas, Hudson-Odoi, Batshuayi.";;;#LiveBolanet;"944541346517286914";https://twitter.com/Bolanet/status/944541346517286914
Bolanet;2017-12-23 19:12;6;2;"#LiveBolanet Chelsea XI (vsEverton): Courtois; Azpilicueta, Christensen, Rudiger; Moses, Kante, Bakayoko, Alonso; Willian, Hazard, Pedro. pic.twitter.com/nAdvQAcjBe";;;#LiveBolanet;"944541095639375873";https://twitter.com/Bolanet/status/944541095639375873
Bolanet;2017-12-23 19:11;2;2;"#LiveBolanet Everton XI (vsChelsea): Pickford, Schneiderlin, Keane, Jagielka, Lennon, Martina, Gueye, Sigurdsson, Davies, Calvert-Lewin, Kenny. pic.twitter.com/3zHc7M4ViL";;;#LiveBolanet;"944540843775442944";https://twitter.com/Bolanet/status/944540843775442944
Bolanet;2017-12-23 19:10;7;7;"#LiveBolanet Everton vs Chelsea | Sabtu (23/12), di Beinsport 1 pukul 19.30 WIB. pic.twitter.com/BdCt5necDC";;;#LiveBolanet;"944540591639052289";https://twitter.com/Bolanet/status/944540591639052289
Bolanet;2017-12-23 19:05;11;14;"#SegarnyaSolero #LiveBolanet 3' GOOOOOOFFFFSSIIIDDDEE!!!!!! Tandukan manis Ronaldo masuk ke gawang Ter Stegen namun dianggap offside oleh wasit Real Madrid 0-0 Barcelona";;;#SegarnyaSolero #LiveBolanet;"944539525073788929";https://twitter.com/Bolanet/status/944539525073788929
Bolanet;2017-12-23 19:01;5;7;"#SegarnyaSolero #LiveBolanet 0' Priiittt!!! peluit dari wasit pertanda Kick off babak pertama sudah dimulai, Pemain kedua tim terlihat Segar menjelang laga, Prediksi skor akhir Bolaneters? Real Madrid 0-0 Barcelona";;;#SegarnyaSolero #LiveBolanet;"944538413562253313";https://twitter.com/Bolanet/status/944538413562253313
Bolanet;2017-12-23 19:00;6;5;"https:// goo.gl/Lsbr7p - MU Tanpa Fellaini Hingga Awal 2018 pic.twitter.com/c9QO9NIQti";;;;"944538086486237184";https://twitter.com/Bolanet/status/944538086486237184
Bolanet;2017-12-23 18:45;16;14;"#SegarnyaSolero #LiveBolanet 15 menit lagi Laga super Segar Real Madrid vs Barcelona segera dimulai, segera siapkan amunisi kopi dan camilan segarnya seperti Solero Mangga jangan sampai ngantuk atau kelaparan nonton laga Manis ini ya Bolaneters pic.twitter.com/av98bCbS7M";;;#SegarnyaSolero #LiveBolanet;"944534300275310593";https://twitter.com/Bolanet/status/944534300275310593
Bolanet;2017-12-23 18:40;2;15;"https:// goo.gl/JQpXa8 - Comvalius Ingin Kembali Merumput di Indonesia pic.twitter.com/sN31IpjTHu";;;;"944533042781028353";https://twitter.com/Bolanet/status/944533042781028353
Bolanet;2017-12-23 18:20;3;5;"https:// goo.gl/gzRD7N - Barca Dilaporkan ke FIFA Soal Griezmann, Valverde Pilih No Komen pic.twitter.com/0kXdBlMjnL";;;;"944528009280634881";https://twitter.com/Bolanet/status/944528009280634881
Bolanet;2017-12-23 18:10;7;8;"#SegarnyaSolero #LiveBolanet Top scorer Barcelona di La Liga musim ini: Lionel Messi (14 gol).";;;#SegarnyaSolero #LiveBolanet;"944525576366317568";https://twitter.com/Bolanet/status/944525576366317568
