username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Bolanet;2017-12-08 02:06;199;107;"#SekilasBolanet RESMI! Samai rekor Messi, Cristiano Ronaldo dapatkan Ballon d'Or 2017 untuk ke lima kalinya. pic.twitter.com/OFqc6GvPnH";;;#SekilasBolanet;"938847263144718339";https://twitter.com/Bolanet/status/938847263144718339
Bolanet;2017-12-08 02:03;1;23;"#LiveBolanet 47' GOOOOOOLLLLLL!!!!! menerima umpan tarik dari sisi kiri dituntaskan tembakan Gavranovic ke gawang Storari HNK Rijeka 2-0 Milan";;;#LiveBolanet;"938846486351269888";https://twitter.com/Bolanet/status/938846486351269888
Bolanet;2017-12-08 02:00;0;4;"#LiveBolanet 46' Priiittt!!! Kick off babak kedua sudah dimulai HNK Rijeka 1-0 Milan pic.twitter.com/5ZCg00a0n0";;;#LiveBolanet;"938845683175616515";https://twitter.com/Bolanet/status/938845683175616515
Bolanet;2017-12-08 02:00;1;3;"[Spesial] https:// goo.gl/iGm3Bs - 5 Manajer Yang Bisa Gantikan Jurgen Klopp di Liverpool pic.twitter.com/RcBrCL3HOE";;;;"938845567295348739";https://twitter.com/Bolanet/status/938845567295348739
Bolanet;2017-12-08 01:46;1;4;"#LiveBolanet HT: HNK Rijeka 1-0 Milan (7' Puljic) | Possessions: 38%-62% | Shots: 5-2 | Tackles: 12-11 pic.twitter.com/u2RCWgqOOM";;;#LiveBolanet;"938842142851682304";https://twitter.com/Bolanet/status/938842142851682304
Bolanet;2017-12-08 01:45;3;8;"https:// goo.gl/Y3GcC2 - Eks Barcelona Ini Akan Turut Serta ketika Indonesia Melawan Islandia pic.twitter.com/doHrx21Asq";;;;"938841792249847810";https://twitter.com/Bolanet/status/938841792249847810
Bolanet;2017-12-08 01:30;12;21;"https:// goo.gl/XarWXH - Bila Gagal Menangi Piala Dunia, Messi Ajak Pensiun Rame-rame pic.twitter.com/B2m51OiDQi";;;;"938838015660646400";https://twitter.com/Bolanet/status/938838015660646400
Bolanet;2017-12-08 01:15;7;15;"https:// goo.gl/cxFKST - Bosz: Madrid Favorit, Tekad Cetak Gol Ronaldo Luar Biasa pic.twitter.com/8zsYfdoYSt";;;;"938834246390575104";https://twitter.com/Bolanet/status/938834246390575104
Bolanet;2017-12-08 01:08;2;10;"#LiveBolanet 7' GOOOOLLLLL!!!!! Golazo tendangan bebas Puljic masuk ke gawang Storari HNK Rijeka 1-0 Milan";;;#LiveBolanet;"938832662705426432";https://twitter.com/Bolanet/status/938832662705426432
Bolanet;2017-12-08 01:00;1;6;"#LiveBolanet 0' Priiittt!!! peluit dari wasit pertanda Kick off babak pertama sudah dimulai, Prediksi? HNK Rijeka 0-0 Milan";;;#LiveBolanet;"938830565620502530";https://twitter.com/Bolanet/status/938830565620502530
Bolanet;2017-12-08 01:00;4;6;"https:// goo.gl/KHK9vK - Messi: Higuain Salah Satu Penyerang Terbaik di Dunia pic.twitter.com/QHYMazHWlJ";;;;"938830469738745858";https://twitter.com/Bolanet/status/938830469738745858
Bolanet;2017-12-08 00:55;0;2;"#LiveBolanet HNK Rijeka Subs: Prskalo, Crnic, Lepinjica, Santek, Celikovic, Puncec, Mavrias Milan Subs: A. Donnarumma, Abate, Bonucci, Musacchio, Gabbia, Montolivo, Forte";;;#LiveBolanet;"938829435364458496";https://twitter.com/Bolanet/status/938829435364458496
Bolanet;2017-12-08 00:55;2;1;"#LiveBolanet HNK Rijeka XI (vsMilan): Sluga; Vesovic, Elez, Zuparic, Zuta; Males, Pavicic; Acosty, Gavranovic, Krvzic; Puljic Milan XI (vsHNKRijeka): Storari; Zapata, Paletta, Romagnoli; Calabria, Zanellato, Biglia, Locatelli, Antonelli; André Silva, Cutrone";;;#LiveBolanet;"938829409296965633";https://twitter.com/Bolanet/status/938829409296965633
Bolanet;2017-12-08 00:55;4;4;"#LiveBolanet HNK Rijeka vs AC Milan | Jumat (8/12), di Beinsport 2 dan SCTV pukul 01.00 WIB. pic.twitter.com/J9IW40WUrp";;;#LiveBolanet;"938829370445008896";https://twitter.com/Bolanet/status/938829370445008896
Bolanet;2017-12-08 00:45;8;2;"https:// goo.gl/ucdHqd - Gattuso: Milan Butuh Kemenangan pic.twitter.com/x6EYqMqn04";;;;"938826694156275713";https://twitter.com/Bolanet/status/938826694156275713
Bolanet;2017-12-08 00:30;3;5;"[Spesial] https:// goo.gl/KKtTMh - 5 Pemain Yang Harus Tinggalkan Premier League pic.twitter.com/S6qLjkdJLj";;;;"938822926932967424";https://twitter.com/Bolanet/status/938822926932967424
Bolanet;2017-12-08 00:15;1;4;"[Spesial] https:// goo.gl/scM6Q4 - 5 Destinasi Potensial Andai Franck Ribery Tinggalkan Bayern Munchen pic.twitter.com/5yXiPPJdC2";;;;"938819144190902272";https://twitter.com/Bolanet/status/938819144190902272
Bolanet;2017-12-08 00:00;14;19;"[Spesial] https:// goo.gl/W68iKa - 5 Pelatih Yang Bisa Dipertimbangkan AC Milan pic.twitter.com/AHAScbzFlb";;;;"938815377974296576";https://twitter.com/Bolanet/status/938815377974296576
